# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Web Edition
# File: D:\Documentos\GitHub\DProcesadores\ProyectoPedro\NUESTROQUARTUS\Dunna.csv
# Generated on: Sat Jun 06 19:05:38 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
AUD_BCLK,Bidir,PIN_A4,3,B3_N1,PIN_Y10,,,,
AUD_DACDAT,Output,PIN_B5,3,B3_N1,PIN_Y16,,,,
AUD_DACLRCK,Output,PIN_A5,3,B3_N1,PIN_C22,,,,
AUD_XCK,Output,PIN_B4,3,B3_N1,PIN_P8,,,,
CLOCK_27[1],Input,PIN_E12,3,B3_N0,PIN_U9,,,,
CLOCK_27[0],Input,PIN_D12,3,B3_N0,PIN_B19,,,,
I2C_SCLK,Output,PIN_A3,3,B3_N1,PIN_P2,,,,
I2C_SDAT,Bidir,PIN_B3,3,B3_N1,PIN_U8,,,,
clk,Input,PIN_L1,2,B2_N1,PIN_L1,,,,
display1[6],Output,PIN_E2,2,B2_N1,PIN_E2,,,,
display1[5],Output,PIN_F1,2,B2_N1,PIN_F1,,,,
display1[4],Output,PIN_F2,2,B2_N1,PIN_F2,,,,
display1[3],Output,PIN_H1,2,B2_N1,PIN_H1,,,,
display1[2],Output,PIN_H2,2,B2_N1,PIN_H2,,,,
display1[1],Output,PIN_J1,2,B2_N1,PIN_J1,,,,
display1[0],Output,PIN_J2,2,B2_N1,PIN_J2,,,,
display2[6],Output,PIN_D1,2,B2_N0,PIN_D1,,,,
display2[5],Output,PIN_D2,2,B2_N0,PIN_D2,,,,
display2[4],Output,PIN_G3,2,B2_N0,PIN_G3,,,,
display2[3],Output,PIN_H4,2,B2_N0,PIN_H4,,,,
display2[2],Output,PIN_H5,2,B2_N0,PIN_H5,,,,
display2[1],Output,PIN_H6,2,B2_N0,PIN_H6,,,,
display2[0],Output,PIN_E1,2,B2_N1,PIN_E1,,,,
display3[6],Output,PIN_D3,2,B2_N0,PIN_D3,,,,
display3[5],Output,PIN_E4,2,B2_N0,PIN_E4,,,,
display3[4],Output,PIN_E3,2,B2_N0,PIN_E3,,,,
display3[3],Output,PIN_C1,2,B2_N0,PIN_C1,,,,
display3[2],Output,PIN_C2,2,B2_N0,PIN_C2,,,,
display3[1],Output,PIN_G6,2,B2_N0,PIN_G6,,,,
display3[0],Output,PIN_G5,2,B2_N0,PIN_G5,,,,
display4[6],Output,PIN_D4,2,B2_N0,PIN_D4,,,,
display4[5],Output,PIN_F3,2,B2_N0,PIN_F3,,,,
display4[4],Output,PIN_L8,2,B2_N1,PIN_L8,,,,
display4[3],Output,PIN_J4,2,B2_N1,PIN_J4,,,,
display4[2],Output,PIN_D6,2,B2_N0,PIN_D6,,,,
display4[1],Output,PIN_D5,2,B2_N0,PIN_D5,,,,
display4[0],Output,PIN_F4,2,B2_N0,PIN_F4,,,,
morse[9],Input,PIN_L2,2,B2_N1,PIN_L2,,,,
morse[8],Input,PIN_M1,1,B1_N0,PIN_M1,,,,
morse[7],Input,PIN_M2,1,B1_N0,PIN_M2,,,,
morse[6],Input,PIN_U11,8,B8_N0,PIN_U11,,,,
morse[5],Input,PIN_U12,8,B8_N0,PIN_U12,,,,
morse[4],Input,PIN_W12,7,B7_N1,PIN_W12,,,,
morse[3],Input,PIN_V12,7,B7_N1,PIN_V12,,,,
morse[2],Input,PIN_M22,6,B6_N0,PIN_M22,,,,
morse[1],Input,PIN_L21,5,B5_N1,PIN_L21,,,,
morse[0],Input,PIN_L22,5,B5_N1,PIN_L22,,,,
op[2],Input,PIN_T22,6,B6_N0,PIN_T22,,,,
op[1],Input,PIN_R21,6,B6_N0,PIN_R21,,,,
op[0],Input,PIN_R22,6,B6_N0,PIN_R22,,,,
pc_out[9],Output,,,,PIN_F8,,,,
pc_out[8],Output,,,,PIN_W7,,,,
pc_out[7],Output,PIN_Y21,6,B6_N1,PIN_Y21,,,,
pc_out[6],Output,PIN_Y22,6,B6_N1,PIN_Y22,,,,
pc_out[5],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
pc_out[4],Output,PIN_W22,6,B6_N1,PIN_W22,,,,
pc_out[3],Output,PIN_V21,6,B6_N1,PIN_V21,,,,
pc_out[2],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
pc_out[1],Output,PIN_U21,6,B6_N1,PIN_U21,,,,
pc_out[0],Output,PIN_U22,6,B6_N1,PIN_U22,,,,
reset,Input,PIN_T21,6,B6_N0,PIN_T21,,,,
s0[7],Output,PIN_U18,6,B6_N1,PIN_U18,,,,
